Daily Rainfall Total (mm),Datetime,category
17.799999999999997,2014-09-06,0
12.2,2014-09-07,0
0.0,2014-09-08,0
53.60000000000001,2014-09-09,1
3.2,2014-09-10,0
425.1,2014-09-11,2
1.2,2014-09-12,0
8.2,2014-09-13,0
0.0,2014-09-14,0
0.0,2014-09-15,0
0.0,2014-09-16,0
29.8,2014-09-17,0
8.600000000000001,2014-09-18,0
45.20000000000001,2014-09-19,0
282.6,2014-09-20,2
75.60000000000001,2014-09-21,1
0.0,2014-09-22,0
0.0,2014-09-23,0
295.09999999999997,2014-09-24,2
337.40000000000003,2014-09-25,2
0.0,2014-09-26,0
0.0,2014-09-27,0
0.0,2014-09-28,0
0.0,2014-09-29,0
0.0,2014-09-30,0
0.0,2014-10-01,0
0.0,2014-10-02,0
0.0,2014-10-03,0
514.1,2014-10-04,3
6.4,2014-10-05,0
0.0,2014-10-06,0
0.0,2014-10-07,0
0.0,2014-10-08,0
1.2,2014-10-09,0
0.0,2014-10-10,0
6.7,2014-10-11,0
8.4,2014-10-12,0
13.099999999999998,2014-10-13,0
87.2,2014-10-14,1
7.400000000000001,2014-10-15,0
243.60000000000002,2014-10-16,2
136.2,2014-10-17,1
191.29999999999995,2014-10-18,1
1.0,2014-10-19,0
0.0,2014-10-20,0
155.4,2014-10-21,1
90.50000000000001,2014-10-22,1
0.2,2014-10-23,0
0.0,2014-10-24,0
0.0,2014-10-25,0
25.2,2014-10-26,0
475.6000000000001,2014-10-27,2
69.99999999999999,2014-10-28,1
15.0,2014-10-29,0
133.5,2014-10-30,1
325.5,2014-10-31,2
79.8,2014-11-01,1
0.4,2014-11-02,0
0.6000000000000001,2014-11-03,0
0.0,2014-11-04,0
298.59999999999997,2014-11-05,2
434.49999999999994,2014-11-06,2
338.00000000000006,2014-11-07,2
852.4999999999999,2014-11-08,3
196.4,2014-11-09,1
43.800000000000004,2014-11-10,0
314.69999999999993,2014-11-11,2
242.5,2014-11-12,2
481.69999999999993,2014-11-13,2
21.700000000000003,2014-11-14,0
108.69999999999999,2014-11-15,1
119.5,2014-11-16,1
285.0,2014-11-17,2
109.1,2014-11-18,1
3.6000000000000005,2014-11-19,0
253.80000000000004,2014-11-20,2
13.4,2014-11-21,0
48.8,2014-11-22,0
316.9,2014-11-23,2
489.0,2014-11-24,2
286.49999999999994,2014-11-25,2
544.8,2014-11-26,3
9.499999999999998,2014-11-27,0
57.99999999999999,2014-11-28,1
203.49999999999994,2014-11-29,2
0.0,2014-11-30,0
241.7,2014-12-01,2
0.0,2014-12-02,0
1.8,2014-12-03,0
709.2,2014-12-04,3
0.2,2014-12-05,0
283.50000000000006,2014-12-06,2
567.8,2014-12-07,3
68.3,2014-12-08,1
10.699999999999996,2014-12-09,0
0.8,2014-12-10,0
355.40000000000003,2014-12-11,2
27.099999999999998,2014-12-12,0
332.40000000000003,2014-12-13,2
19.2,2014-12-14,0
1.1,2014-12-15,0
28.9,2014-12-16,0
821.6000000000003,2014-12-17,3
265.20000000000005,2014-12-18,2
521.3,2014-12-19,3
259.3999999999999,2014-12-20,2
221.4,2014-12-21,2
48.400000000000006,2014-12-22,0
65.8,2014-12-23,1
246.10000000000002,2014-12-24,2
50.1,2014-12-25,1
1143.7,2014-12-26,3
539.5,2014-12-27,3
40.9,2014-12-28,0
93.49999999999997,2014-12-29,1
0.0,2014-12-30,0
0.0,2014-12-31,0
5.699999999999999,2015-01-01,0
0.4,2015-01-02,0
8.6,2015-01-03,0
0.0,2015-01-04,0
2.5999999999999996,2015-01-05,0
618.3000000000001,2015-01-06,3
172.70000000000005,2015-01-07,1
407.70000000000005,2015-01-08,2
22.5,2015-01-09,0
96.10000000000002,2015-01-10,1
150.5,2015-01-11,1
15.399999999999999,2015-01-12,0
0.0,2015-01-13,0
0.0,2015-01-14,0
0.0,2015-01-15,0
0.0,2015-01-16,0
0.0,2015-01-17,0
0.0,2015-01-18,0
0.4,2015-01-19,0
0.0,2015-01-20,0
327.8,2015-01-21,2
0.0,2015-01-22,0
2.2,2015-01-23,0
4.0,2015-01-24,0
0.0,2015-01-25,0
0.0,2015-01-26,0
0.0,2015-01-27,0
9.3,2015-01-28,0
0.0,2015-01-29,0
2.2,2015-01-30,0
0.0,2015-01-31,0
0.0,2015-02-01,0
44.4,2015-02-02,0
0.2,2015-02-03,0
77.80000000000001,2015-02-04,1
3.0,2015-02-05,0
279.2,2015-02-06,2
1.8000000000000003,2015-02-07,0
0.0,2015-02-08,0
0.0,2015-02-09,0
0.0,2015-02-10,0
0.0,2015-02-11,0
0.0,2015-02-12,0
0.0,2015-02-13,0
0.0,2015-02-14,0
0.0,2015-02-15,0
0.0,2015-02-16,0
0.0,2015-02-17,0
24.400000000000002,2015-02-18,0
376.50000000000006,2015-02-19,2
0.0,2015-02-20,0
0.0,2015-02-21,0
0.2,2015-02-22,0
189.69999999999996,2015-02-23,1
0.2,2015-02-24,0
96.8,2015-02-25,1
5.3999999999999995,2015-02-26,0
0.0,2015-02-27,0
0.0,2015-02-28,0
7.6,2015-03-01,0
169.00000000000003,2015-03-02,1
0.8,2015-03-03,0
74.9,2015-03-04,1
7.0,2015-03-05,0
4.0,2015-03-06,0
0.0,2015-03-07,0
55.2,2015-03-08,1
132.5,2015-03-09,1
18.2,2015-03-10,0
255.59999999999997,2015-03-11,2
0.6000000000000001,2015-03-12,0
0.0,2015-03-13,0
290.99999999999994,2015-03-14,2
66.7,2015-03-15,1
56.400000000000006,2015-03-16,1
28.099999999999994,2015-03-17,0
0.0,2015-03-18,0
154.1,2015-03-19,1
2.8,2015-03-20,0
177.00000000000003,2015-03-21,1
762.9,2015-03-22,3
1.2,2015-03-23,0
4.800000000000001,2015-03-24,0
0.0,2015-03-25,0
1.2,2015-03-26,0
0.1,2015-03-27,0
61.10000000000001,2015-03-28,1
468.6,2015-03-29,2
3.0999999999999996,2015-03-30,0
186.1,2015-03-31,1
154.79999999999998,2015-04-01,1
670.7,2015-04-02,3
9.0,2015-04-03,0
83.29999999999998,2015-04-04,1
124.5,2015-04-05,1
94.29999999999998,2015-04-06,1
88.2,2015-04-07,1
30.1,2015-04-08,0
0.0,2015-04-09,0
9.4,2015-04-10,0
175.1,2015-04-11,1
132.60000000000002,2015-04-12,1
0.0,2015-04-13,0
0.0,2015-04-14,0
8.0,2015-04-15,0
0.0,2015-04-16,0
46.2,2015-04-17,0
12.799999999999999,2015-04-18,0
137.5,2015-04-19,1
0.0,2015-04-20,0
140.79999999999998,2015-04-21,1
136.1,2015-04-22,1
55.80000000000002,2015-04-23,1
355.29999999999995,2015-04-24,2
219.79999999999998,2015-04-25,2
149.8,2015-04-26,1
215.70000000000002,2015-04-27,2
688.3000000000001,2015-04-28,3
12.2,2015-04-29,0
119.89999999999999,2015-04-30,1
8.5,2015-05-01,0
110.39999999999998,2015-05-02,1
1145.9,2015-05-03,3
24.9,2015-05-04,0
4.2,2015-05-05,0
153.00000000000003,2015-05-06,1
81.89999999999999,2015-05-07,1
141.1,2015-05-08,1
0.0,2015-05-09,0
10.0,2015-05-10,0
0.0,2015-05-11,0
31.7,2015-05-12,0
96.1,2015-05-13,1
249.90000000000003,2015-05-14,2
490.4000000000001,2015-05-15,2
36.7,2015-05-16,0
21.8,2015-05-17,0
476.5,2015-05-18,2
104.4,2015-05-19,1
84.70000000000002,2015-05-20,1
0.0,2015-05-21,0
72.1,2015-05-22,1
354.5,2015-05-23,2
1.0,2015-05-24,0
63.900000000000006,2015-05-25,1
122.20000000000002,2015-05-26,1
6.0,2015-05-27,0
1.5,2015-05-28,0
8.3,2015-05-29,0
0.4,2015-05-30,0
2.4,2015-05-31,0
0.0,2015-06-01,0
82.3,2015-06-02,1
0.0,2015-06-03,0
35.20000000000001,2015-06-04,0
1.8,2015-06-05,0
159.1,2015-06-06,1
304.7,2015-06-07,2
206.8,2015-06-08,2
3.4,2015-06-09,0
13.7,2015-06-10,0
39.39999999999999,2015-06-11,0
312.9,2015-06-12,2
